surnames,usa
Smith	1	1	0	2,376,207	880.85	880.85	73.35	22.22	0.4	0.85	1.63	1.56
Johnson	2	2	0	1,857,160	688.44	1569.3	61.55	33.8	0.42	0.91	1.82	1.5
Williams	3	3	0	1,534,042	568.66	2137.96	48.52	46.72	0.37	0.78	2.01	1.6
Brown	4	5	Increase 1	1,380,145	511.62	2649.58	60.71	34.54	0.41	0.83	1.86	1.64
Jones	5	4	Decrease -1	1,362,755	505.17	3154.75	57.69	37.73	0.35	0.94	1.85	1.44
Miller	6	7	Increase1	1,127,803	418.07	3572.82	85.81	10.41	0.42	0.63	1.31	1.43
Davis	7	6	Decrease -1	1,072,335	397.51	3970.33	64.73	30.77	0.4	0.79	1.73	1.58
Garcia	8	18	Increase 10	858,289	318.17	4288.5	6.17	0.49	1.43	0.58	0.51	90.81
Rodriguez	9	22	Increase 13	804,240	298.13	4586.62	5.52	0.54	0.58	0.24	0.41	92.7
Wilson	10	8	Decrease -2	783,051	290.27	4876.9	69.72	25.32	0.46	1.03	1.74	1.73
Martinez	11	19	Increase 8	775,072	287.32	5164.22	6.04	0.52	0.6	0.64	0.46	91.72
Anderson	12	11	Decrease -1	762,394	282.62	5446.83	77.6	18.06	0.48	0.7	1.59	1.58
Taylor	13	10	Decrease -3	720,370	267.04	5713.87	67.8	27.67	0.39	0.75	1.78	1.61
Thomas	14	12	Decrease -2	710,696	263.45	5977.33	55.53	38.17	1.63	1.01	2	1.66
Fernandez	15	29	Increase 14	706,372	261.85	6239.18	4.55	0.38	0.65	0.27	0.35	93.81
Moore	16	9	Decrease -7	698,671	259	6498.17	68.85	26.92	0.37	0.65	1.7	1.5
Martin	17	16	Decrease -1	672,711	249.37	6747.54	77.47	15.3	0.71	0.94	1.59	3.99
Jackson	18	13	Decrease -5	666,125	246.93	6994.47	41.93	53.02	0.31	1.04	2.18	1.53
Thompson	19	17	Decrease -2	644,368	238.87	7233.34	72.48	22.53	0.44	1.15	1.78	1.62
White	20	14	Decrease -6	639,515	237.07	7470.4	67.91	27.38	0.39	1.01	1.76	1.55
Lopez	21	32	Increase 11	621,536	230.4	7700.81	5.85	0.61	1.04	0.47	0.52	91.51
Lee	22	24	Increase 2	605,860	224.59	7925.4	40.09	17.41	37.83	1.03	2.3	1.34
Gonzalez	23	38	Increase 15	597,718	221.57	8146.97	4.76	0.37	0.38	0.18	0.33	93.99
Harris	24	15	Decrease -9	593,542	220.02	8366.99	53.88	41.63	0.36	0.65	2.02	1.45
Clark	25	21	Decrease -4	548,369	203.28	8570.27	76.84	18.53	0.41	0.94	1.6	1.68
Lewis	26	23	Decrease -3	509,930	189.03	8759.3	60.97	33.83	0.45	1.14	1.97	1.64
Robinson	27	20	Decrease -7	503,028	186.47	8945.77	51.34	44.1	0.37	0.51	1.99	1.68
Walker	28	25	Decrease -3	501,307	185.83	9131.61	61.25	34.17	0.35	0.83	1.8	1.6
Perez	29	42	Increase 13	488,521	181.09	9312.7	5.95	0.48	1.18	0.26	0.48	91.65
Hall	30	26	Decrease -4	473,568	175.55	9488.25	75.11	20.75	0.48	0.63	1.63	1.4
