surnames,argentina
1	Fernández	568.240	1,472%
2	Rodríguez	483.212	1,252%
3	González	426.253	1,104%
4	García	411.462	1,066%
5	López	393.704	1,020%
6	Martínez	346.271	0,897%
7	Pérez	336.094	0,870%
8	Álvarez	294.527	0,763%
9	Gómez	290.821	0,753%
10	Sánchez	271.351	0,703%
11	Díaz	256.397	0,664%
12	Vásquez	187.974	0,487%
13	Castro	173.055	0,448%
14	Romero	166.497	0,431%
15	Suárez	160.483	0,415%
16	Blanco	154.248	0,399%
17	Ruiz	140.829	0,364%
18	Alonso	135.893	0,352%
19	Torres	133.599	0,346%
20	Domínguez	132.625	0,343%
21	Gutiérrez	130.607	0,338%
22	Sosa	129.372	0,335%
23	Iglesias	126.822	0,328%
24	Giménez	125.009	0,323%
25	Ramírez	124.550	0,322%
26	Martín	123.938	0,321%
27	Varela	119.674	0,310%
28	Ramos	118.825	0,307%
29	Núnez	118.106	0,306%
30	Rossi	116.775	0,302%
31	Silva	107.835	0,279%
32	Méndez	104.668	0,271%
33	Hernández	104.581	0,270%
34	Flores	100.092	0,261%
35	Pereyra	99.884	0,258%
36	Ferrari	98.761	0,255%
37	Ortiz	96.761	0,250%
38	Medina	96.228	0,249%
39	Benítez	95.628	0,247%
40	Herrera	94.781	0,245%
41	Arias	94.537	0,245%
42	Acosta	92.707	0,240%
43	Moreno	92.127	0,238%
44	Aguirre	91.365	0,236%
45	Otero	89.583	0,232%
46	Cabrera	88.398	0,229%
47	Rey	88.394	0,229%
48	Rojas	81.343	0,210%
49	Vidal	80.233	0,207%
50	Molina	80.050	0,207%
51	Russo	79.882	0,206%
52	Paz	75.365	0,195%
53	Vega	74.107	0,192%
54	Costa	73.932	0,191%
55	Bruno	73.907	0,191%
56	Romano	73.458	0,190%
57	Morales	71.587	0,185%
58	Ríos	71.534	0,185%
59	Miranda	70.713	0,183%
60	Munoz	70.092	0,181%
61	Franco	70.055	0,181%
62	Castillo	69.720	0,180%
63	Campos	69.447	0,179%
64	Bianchi	68.510	0,177%
65	Luna	66.763	0,172%
66	Correa	66.535	0,172%
67	Ferreyra	66.461	0,172%
68	Navarro	66.457	0,172%
69	Quiroga	66.138	0,171%
70	Colombo	65.375	0,169%
71	Cohen	63.575	0,164%
72	Pereyra	63.367	0,163%
73	Vera	63.226	0,163%
74	Lorenzo	63.157	0,163%
75	Gil	62.727	0,162%
76	Santos	60.580	0,156%
77	Delgado	59.333	0,154%
78	Godoy	58.956	0,152%
79	Rivas	58.811	0,151%
80	Rivero	58.604	0,151%
81	Gallo	57.990	0,149%
82	Peralta	57.192	0,148%
83	Soto	55.633	0,144%
84	Figueroa	55.515	0,143%
85	Juárez	55.310	0,143%
86	Marino	54.806	0,142%
87	Ponce	54.009	0,139%
88	Calvo	52.282	0,135%
89	Ibánez	51.972	0,134%
90	Cáceres	51.493	0,133%
91	Carrizo	50.657	0,131%
92	Vargas	50.613	0,131%
93	Mendoza	50.588	0,131%
94	Aguilar	49.717	0,128%
95	Ledesma	49.645	0,128%
96	Guzmán	49.543	0,128%
97	Soria	49.291	0,127%
98	Villalba	48.602	0,125%
99	Prieto	48.355	0,125%
100	Maldonado	47.344	0,122%
